Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1988,WHOSIS_000015,COUNTRY,ZMB,AFR,Africa,YEAR,2018,SEX,SEX_BTSX,,,,,,,15.9 [15.3-16.8],15.92343,15.28788,16.77226,,2024-08-02T10:09:37Z,2018,2018-01-01,2018-12-31
3660,WHOSIS_000015,COUNTRY,UGA,AFR,Africa,YEAR,2020,SEX,SEX_MLE,,,,,,,15.0 [14.4-15.6],14.98781,14.43057,15.55778,,2024-08-02T10:09:37Z,2020,2020-01-01,2020-12-31
4724,WHOSIS_000015,COUNTRY,ATG,AMR,Americas,YEAR,2011,SEX,SEX_FMLE,,,,,,,21.5 [21.3-21.8],21.49876,21.2588,21.78014,,2024-08-02T10:09:37Z,2011,2011-01-01,2011-12-31
5503,WHOSIS_000015,COUNTRY,GRC,EUR,Europe,YEAR,2005,SEX,SEX_MLE,,,,,,,21.3 [21.2-21.3],21.26011,21.23852,21.31308,,2024-08-02T10:09:37Z,2005,2005-01-01,2005-12-31
5640,WHOSIS_000015,COUNTRY,PRI,AMR,Americas,YEAR,2014,SEX,SEX_MLE,,,,,,,22.8 [22.7-22.9],22.79153,22.71246,22.89816,,2024-08-02T10:09:37Z,2014,2014-01-01,2014-12-31
5884,WHOSIS_000015,COUNTRY,BRN,WPR,Western Pacific,YEAR,2021,SEX,SEX_BTSX,,,,,,,21.3 [21.1-21.7],21.34501,21.05494,21.7395,,2024-08-02T10:09:37Z,2021,2021-01-01,2021-12-31
8603,WHOSIS_000015,COUNTRY,MAR,EMR,Eastern Mediterranean,YEAR,2016,SEX,SEX_FMLE,,,,,,,19.5 [18.9-20.1],19.51959,18.91026,20.06803,,2024-08-02T10:09:37Z,2016,2016-01-01,2016-12-31
10942,WHOSIS_000015,COUNTRY,BHS,AMR,Americas,YEAR,2018,SEX,SEX_MLE,,,,,,,19.4 [18.8-19.9],19.35043,18.84342,19.90596,,2024-08-02T10:09:37Z,2018,2018-01-01,2018-12-31
11016,WHOSIS_000015,COUNTRY,JOR,EMR,Eastern Mediterranean,YEAR,2006,SEX,SEX_FMLE,,,,,,,17.6 [17.3-17.9],17.60928,17.29702,17.92968,,2024-08-02T10:09:37Z,2006,2006-01-01,2006-12-31
11130,WHOSIS_000015,COUNTRY,PNG,WPR,Western Pacific,YEAR,2006,SEX,SEX_FMLE,,,,,,,16.3 [15.7-16.7],16.25459,15.72935,16.70111,,2024-08-02T10:09:37Z,2006,2006-01-01,2006-12-31
12373,WHOSIS_000015,COUNTRY,GNB,AFR,Africa,YEAR,2013,SEX,SEX_BTSX,,,,,,,14.0 [13.5-14.5],13.96303,13.52612,14.46595,,2024-08-02T10:09:37Z,2013,2013-01-01,2013-12-31
13200,WHOSIS_000015,COUNTRY,KOR,WPR,Western Pacific,YEAR,2008,SEX,SEX_MLE,,,,,,,20.6 [20.6-20.6],20.60054,20.59765,20.64143,,2024-08-02T10:09:37Z,2008,2008-01-01,2008-12-31
13276,WHOSIS_000015,COUNTRY,UZB,EUR,Europe,YEAR,2000,SEX,SEX_FMLE,,,,,,,14.3 [14.1-14.5],14.27741,14.0969,14.45305,,2024-08-02T10:09:37Z,2000,2000-01-01,2000-12-31
